n,thread number,kind,time
1000000000,1,serial,138.49
1000000000,1,reduction,141.521
1000000000,1,critical,144.779
1000000000,2,serial,141.177
1000000000,2,reduction,92.4844
1000000000,2,critical,118.359
1000000000,3,serial,139.054
1000000000,3,reduction,95.9683
1000000000,3,critical,99.3974
1000000000,4,serial,142.525
1000000000,4,reduction,96.549
1000000000,4,critical,113.902
1000000000,5,serial,140.328
1000000000,5,reduction,118.106
1000000000,5,critical,101.833
1000000000,6,serial,185.654
1000000000,6,reduction,120.962
1000000000,6,critical,101.752
1000000000,7,serial,273.362
1000000000,7,reduction,98.2145
1000000000,7,critical,114.733
1000000000,8,serial,144.27
1000000000,8,reduction,104.704
1000000000,8,critical,99.4514
1000000000,9,serial,133.762
1000000000,9,reduction,92.7917
1000000000,9,critical,97.5154
1000000000,10,serial,144.388
1000000000,10,reduction,90.9924
1000000000,10,critical,94.0777
1000000000,11,serial,196.183
1000000000,11,reduction,92.3603
1000000000,11,critical,102.196
1000000000,12,serial,190.964
1000000000,12,reduction,81.3765
1000000000,12,critical,92.9616
1000000000,13,serial,232.023
1000000000,13,reduction,100.454
1000000000,13,critical,103.442
1000000000,14,serial,133.984
1000000000,14,reduction,58.5712
1000000000,14,critical,70.9189
1000000000,15,serial,160.438
1000000000,15,reduction,77.1394
1000000000,15,critical,78.4503
1000000000,16,serial,166.594
1000000000,16,reduction,62.8866
1000000000,16,critical,64.7019
1000000000,17,serial,146.148
1000000000,17,reduction,66.7285
1000000000,17,critical,71.7077
1000000000,18,serial,142.098
1000000000,18,reduction,65.3065
1000000000,18,critical,70.373
1000000000,19,serial,150.964
1000000000,19,reduction,65.497
1000000000,19,critical,68.3717
1000000000,20,serial,161.024
1000000000,20,reduction,55.9808
1000000000,20,critical,61.362
1000000000,21,serial,157.903
1000000000,21,reduction,67.8716
1000000000,21,critical,72.5058
1000000000,22,serial,159.4
1000000000,22,reduction,73.729
1000000000,22,critical,80.0549
1000000000,23,serial,178.206
1000000000,23,reduction,72.7202
1000000000,23,critical,70.087
1000000000,24,serial,173.311
1000000000,24,reduction,72.0555
1000000000,24,critical,76.9075
100000000,1,serial,13.5452
100000000,1,reduction,13.5567
100000000,1,critical,14.5537
100000000,2,serial,18.1019
100000000,2,reduction,8.76551
100000000,2,critical,8.82967
100000000,3,serial,13.4454
100000000,3,reduction,6.05452
100000000,3,critical,6.08959
100000000,4,serial,13.3994
100000000,4,reduction,5.19705
100000000,4,critical,4.82782
100000000,5,serial,13.4403
100000000,5,reduction,5.11935
100000000,5,critical,5.25894
100000000,6,serial,13.4401
100000000,6,reduction,4.53831
100000000,6,critical,5.89821
100000000,7,serial,13.5399
100000000,7,reduction,4.0187
100000000,7,critical,4.12932
100000000,8,serial,13.5002
100000000,8,reduction,3.88747
100000000,8,critical,4.94216
100000000,9,serial,13.5433
100000000,9,reduction,4.17101
100000000,9,critical,4.34283
100000000,10,serial,13.3832
100000000,10,reduction,3.30491
100000000,10,critical,3.70478
100000000,11,serial,13.504
100000000,11,reduction,3.75535
100000000,11,critical,3.81789
100000000,12,serial,13.4744
100000000,12,reduction,4.16076
100000000,12,critical,4.26874
100000000,13,serial,13.5571
100000000,13,reduction,3.98751
100000000,13,critical,4.04759
100000000,14,serial,13.6545
100000000,14,reduction,4.35424
100000000,14,critical,4.38286
100000000,15,serial,13.4999
100000000,15,reduction,4.51605
100000000,15,critical,4.62711
100000000,16,serial,13.515
100000000,16,reduction,4.68009
100000000,16,critical,4.84564
100000000,17,serial,13.5171
100000000,17,reduction,5.33964
100000000,17,critical,5.4615
100000000,18,serial,13.3548
100000000,18,reduction,5.54479
100000000,18,critical,5.65137
100000000,19,serial,13.4203
100000000,19,reduction,5.43557
100000000,19,critical,5.69535
100000000,20,serial,13.4034
100000000,20,reduction,5.28851
100000000,20,critical,5.44745
100000000,21,serial,13.4303
100000000,21,reduction,4.68721
100000000,21,critical,4.90375
100000000,22,serial,15.2488
100000000,22,reduction,3.97858
100000000,22,critical,3.56355
100000000,23,serial,13.525
100000000,23,reduction,4.77645
100000000,23,critical,4.86995
100000000,24,serial,13.5036
100000000,24,reduction,4.62244
100000000,24,critical,4.90788
10000000,1,serial,1.35723
10000000,1,reduction,1.3631
10000000,1,critical,1.36328
10000000,2,serial,1.36317
10000000,2,reduction,0.705976
10000000,2,critical,0.707647
10000000,3,serial,1.36833
10000000,3,reduction,0.493429
10000000,3,critical,0.494507
10000000,4,serial,1.37934
10000000,4,reduction,0.461516
10000000,4,critical,0.524155
10000000,5,serial,1.36286
10000000,5,reduction,0.406288
10000000,5,critical,0.459417
10000000,6,serial,1.36065
10000000,6,reduction,0.413579
10000000,6,critical,0.520993
10000000,7,serial,1.37132
10000000,7,reduction,0.360762
10000000,7,critical,0.534016
10000000,8,serial,1.36679
10000000,8,reduction,0.296534
10000000,8,critical,0.439985
10000000,9,serial,1.36122
10000000,9,reduction,0.346391
10000000,9,critical,0.554604
10000000,10,serial,1.36264
10000000,10,reduction,0.315562
10000000,10,critical,0.46366
10000000,11,serial,1.37543
10000000,11,reduction,0.445188
10000000,11,critical,0.480437
10000000,12,serial,1.37534
10000000,12,reduction,0.430875
10000000,12,critical,0.440768
10000000,13,serial,1.35877
10000000,13,reduction,0.553628
10000000,13,critical,0.45694
10000000,14,serial,1.37147
10000000,14,reduction,0.594548
10000000,14,critical,0.623092
10000000,15,serial,1.40444
10000000,15,reduction,0.684279
10000000,15,critical,0.695073
10000000,16,serial,1.36253
10000000,16,reduction,0.725926
10000000,16,critical,1.3495
10000000,17,serial,1.35898
10000000,17,reduction,0.658698
10000000,17,critical,0.795779
10000000,18,serial,1.36463
10000000,18,reduction,0.683873
10000000,18,critical,0.676128
10000000,19,serial,1.35724
10000000,19,reduction,0.642035
10000000,19,critical,0.988103
10000000,20,serial,1.40136
10000000,20,reduction,0.839638
10000000,20,critical,1.26425
10000000,21,serial,1.38912
10000000,21,reduction,0.336831
10000000,21,critical,0.640514
10000000,22,serial,1.3919
10000000,22,reduction,0.521993
10000000,22,critical,0.568102
10000000,23,serial,1.76606
10000000,23,reduction,0.741687
10000000,23,critical,0.626261
10000000,24,serial,1.75196
10000000,24,reduction,0.72615
10000000,24,critical,0.674169
100000,1,serial,0.0118297
100000,1,reduction,0.0118243
100000,1,critical,0.0119015
100000,2,serial,0.011804
100000,2,reduction,0.175114
100000,2,critical,0.00622909
100000,3,serial,0.0117239
100000,3,reduction,0.403978
100000,3,critical,0.141447
100000,4,serial,0.0117567
100000,4,reduction,0.299914
100000,4,critical,0.0278148
100000,5,serial,0.0116936
100000,5,reduction,0.712475
100000,5,critical,0.204734
100000,6,serial,0.0117691
100000,6,reduction,0.548473
100000,6,critical,0.393579
100000,7,serial,0.0117028
100000,7,reduction,0.752569
100000,7,critical,0.990123
100000,8,serial,0.0116959
100000,8,reduction,0.662941
100000,8,critical,1.09579
100000,9,serial,0.0117401
100000,9,reduction,0.74581
100000,9,critical,1.09554
100000,10,serial,0.0117116
100000,10,reduction,1.05823
100000,10,critical,1.36092
100000,11,serial,0.0116839
100000,11,reduction,1.25773
100000,11,critical,1.57805
100000,12,serial,0.0117178
100000,12,reduction,0.97541
100000,12,critical,1.59834
100000,13,serial,0.01174
100000,13,reduction,1.07251
100000,13,critical,1.56729
100000,14,serial,0.0117295
100000,14,reduction,1.16489
100000,14,critical,1.63818
100000,15,serial,0.011732
100000,15,reduction,1.19326
100000,15,critical,1.78832
100000,16,serial,0.0117749
100000,16,reduction,1.2056
100000,16,critical,2.02776
100000,17,serial,0.0117864
100000,17,reduction,1.14962
100000,17,critical,1.86954
100000,18,serial,0.0116926
100000,18,reduction,1.22488
100000,18,critical,1.8389
100000,19,serial,0.0117297
100000,19,reduction,1.64778
100000,19,critical,2.47684
100000,20,serial,0.0118391
100000,20,reduction,1.38132
100000,20,critical,1.91577
100000,21,serial,0.0116868
100000,21,reduction,0.0343395
100000,21,critical,0.0170247
100000,22,serial,0.0116787
100000,22,reduction,0.0419005
100000,22,critical,0.0178645
100000,23,serial,0.0116894
100000,23,reduction,0.0435464
100000,23,critical,0.0199334
100000,24,serial,0.0116796
100000,24,reduction,0.0322056
100000,24,critical,0.0180154
1000000,1,serial,0.116753
1000000,1,reduction,0.116889
1000000,1,critical,0.116874
1000000,2,serial,0.116793
1000000,2,reduction,0.0587119
1000000,2,critical,0.0585998
1000000,3,serial,0.116803
1000000,3,reduction,0.0392245
1000000,3,critical,0.0391286
1000000,4,serial,0.116812
1000000,4,reduction,0.0295292
1000000,4,critical,0.0294396
1000000,5,serial,0.1168
1000000,5,reduction,0.0237727
1000000,5,critical,0.0236514
1000000,6,serial,0.116816
1000000,6,reduction,0.0199525
1000000,6,critical,0.0198041
1000000,7,serial,0.117143
1000000,7,reduction,0.0172666
1000000,7,critical,0.0170878
1000000,8,serial,0.116862
1000000,8,reduction,0.0152567
1000000,8,critical,0.0150399
1000000,9,serial,0.116798
1000000,9,reduction,0.0137213
1000000,9,critical,0.0134759
1000000,10,serial,0.116868
1000000,10,reduction,0.012567
1000000,10,critical,0.0122732
1000000,11,serial,0.116785
1000000,11,reduction,0.0256997
1000000,11,critical,0.0118997
1000000,12,serial,0.116829
1000000,12,reduction,0.158464
1000000,12,critical,0.011052
1000000,13,serial,0.11715
1000000,13,reduction,0.0674026
1000000,13,critical,0.0105395
1000000,14,serial,0.116715
1000000,14,reduction,0.280838
1000000,14,critical,0.00996272
1000000,15,serial,0.116781
1000000,15,reduction,0.312827
1000000,15,critical,0.00945364
1000000,16,serial,0.11715
1000000,16,reduction,0.359913
1000000,16,critical,0.174723
1000000,17,serial,0.116802
1000000,17,reduction,0.3614
1000000,17,critical,0.386478
1000000,18,serial,0.117096
1000000,18,reduction,0.358189
1000000,18,critical,0.556376
1000000,19,serial,0.117101
1000000,19,reduction,0.369368
1000000,19,critical,0.561992
1000000,20,serial,0.11722
1000000,20,reduction,0.387297
1000000,20,critical,0.622739
1000000,21,serial,0.116732
1000000,21,reduction,0.0289544
1000000,21,critical,0.028985
1000000,22,serial,0.116789
1000000,22,reduction,0.0366669
1000000,22,critical,0.0245674
1000000,23,serial,0.116815
1000000,23,reduction,0.0216504
1000000,23,critical,0.0244556
1000000,24,serial,0.117295
1000000,24,reduction,0.0429277
1000000,24,critical,0.0565693
